"","cod_manzana","departamento","provincia","distrito","centro_poblado","manzana","automovil","motocicleta","hombre","mujer","De 0  a 4 años","De 5  a 9 años","De 10 a 14 años","De 15 a 19 años","De 20 a 24 años","De 25 a 29 años","De 30 a 34 años","De 35 a 39 años","De 40 a 44 años","De 45 a 49 años","De 50 a 54 años","De 55 a 59 años","De 60 a 64 años","De 65 a 69 años","De 70 a 74 años","De 75 a 79 años","De 80 a 84 años","De 85 a 89 años","De 90 a 94 años","De 95 a más","total"
"83","120101000100200028 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 028",9,1,43,47,5,3,3,11,13,14,3,5,5,5,8,4,3,3,1,2,1,1,0,0,90
"84","120101000100200029 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 029",3,0,20,23,1,1,2,6,9,1,3,2,1,3,2,2,4,2,1,2,0,0,1,0,43
"85","120101000100200031 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 031",3,3,28,43,4,7,6,6,5,6,9,3,6,1,5,0,4,2,3,3,1,0,0,0,71
"86","120101000100200033 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 033",1,0,19,34,4,3,7,6,0,2,4,5,3,6,0,2,3,3,1,1,2,1,0,0,53
"87","120101000100200034 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 034",8,2,59,57,8,7,13,7,6,7,8,13,8,8,5,5,7,7,2,1,2,0,1,1,116
"88","120101000100200036 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 036",1,1,18,14,1,0,1,6,4,1,0,0,2,3,3,3,1,1,3,1,2,0,0,0,32
"89","120101000100200037 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 037",7,0,22,25,1,4,4,4,4,3,2,2,5,1,4,4,3,1,1,2,2,0,0,0,47
"90","120101000100200038 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 038",10,3,80,92,4,15,9,9,7,15,18,9,9,5,14,9,21,8,3,8,6,2,1,0,172
"91","120101000100200039 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 039",13,3,94,103,13,8,14,13,12,10,18,13,11,12,7,13,12,9,11,9,6,3,3,0,197
"92","120101000100200040 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 040",15,2,93,110,11,12,19,10,15,13,22,14,16,8,12,14,10,6,5,3,5,5,2,1,203
"93","120101000100200041 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 041",12,2,74,116,14,17,12,11,11,13,12,20,16,12,11,6,7,5,11,5,3,3,1,0,190
"94","120101000100200042 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 042",4,0,35,48,4,3,9,10,9,6,6,5,7,3,4,6,2,3,0,1,0,2,2,1,83
"95","120101000100200043 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 043",2,0,31,21,7,8,2,2,4,2,6,4,3,3,2,2,1,1,1,3,0,1,0,0,52
"96","120101000100200044 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 044",9,3,37,66,6,8,5,8,9,7,5,8,12,7,5,5,4,4,2,3,1,2,2,0,103
"97","120101000100200045 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 045",8,0,46,49,10,7,5,7,11,3,7,7,7,8,9,1,4,6,0,0,1,1,1,0,95
"98","120101000100200046 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 046",25,4,142,170,20,26,25,16,20,19,23,39,24,21,13,24,8,10,11,9,2,2,0,0,312
"99","120101000100200047A"," Junin","Huancayo","Huancayo","Huancayo","Mza: 047A",6,0,30,26,5,2,6,2,8,9,5,4,3,2,2,1,5,0,0,1,0,0,1,0,56
"100","120101000100200047B"," Junin","Huancayo","Huancayo","Huancayo","Mza: 047B",4,0,39,52,6,8,11,9,5,4,11,6,7,10,2,4,2,0,4,1,0,1,0,0,91
"101","120101000100200047D"," Junin","Huancayo","Huancayo","Huancayo","Mza: 047D",3,0,32,39,6,7,2,12,8,6,7,4,6,6,0,2,1,2,1,0,1,0,0,0,71
"102","120101000100200047E"," Junin","Huancayo","Huancayo","Huancayo","Mza: 047E",10,0,32,43,2,7,4,7,7,7,3,8,2,4,5,8,4,1,3,1,1,1,0,0,75
"103","120101000100200048 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 048",5,1,19,32,3,4,4,3,0,5,5,4,5,4,3,0,7,1,1,1,0,1,0,0,51
"104","120101000100200049 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 049",18,1,40,43,5,4,7,7,6,0,5,10,8,8,6,7,8,1,1,0,0,0,0,0,83
"105","120101000100200050A"," Junin","Huancayo","Huancayo","Huancayo","Mza: 050A",12,1,36,32,2,2,6,3,5,3,4,3,11,5,6,6,6,3,0,2,1,0,0,0,68
"106","1201010001002008888"," Junin","Huancayo","Huancayo","Huancayo","Mza: 8888",7,3,62,68,5,9,9,17,12,9,9,10,8,6,7,8,4,4,8,2,1,1,1,0,130
"107","120101000100300001B"," Junin","Huancayo","Huancayo","Huancayo","Mza: 001B",11,0,63,72,9,11,4,14,19,14,5,7,7,14,11,2,4,4,5,4,1,0,0,0,135
"108","120101000100300002 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 002",6,2,68,85,5,8,8,18,28,14,9,7,10,8,11,10,6,6,2,1,2,0,0,0,153
"109","120101000100300003 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 003",4,2,21,37,2,4,4,5,12,5,4,3,6,4,4,0,2,0,1,1,0,1,0,0,58
"110","120101000100300004 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 004",2,0,19,29,6,2,2,2,9,10,7,1,2,1,4,1,1,0,0,0,0,0,0,0,48
"111","120101000100300008 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 008",7,1,57,55,5,3,7,6,16,16,10,7,5,4,7,7,10,1,4,4,0,0,0,0,112
"112","120101000100300009 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 009",4,2,15,16,1,1,2,6,10,0,0,2,1,2,2,0,1,2,1,0,0,0,0,0,31
"113","120101000100300010 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 010",6,1,31,40,8,3,2,4,4,6,7,7,2,3,5,6,5,5,1,0,3,0,0,0,71
"114","120101000100300011 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 011",6,0,36,41,7,3,4,5,11,11,8,2,1,3,4,6,3,2,3,2,1,0,0,1,77
"115","120101000100300012 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 012",2,0,16,21,5,2,2,3,4,3,2,5,3,3,0,2,0,0,1,0,2,0,0,0,37
"116","120101000100300014B"," Junin","Huancayo","Huancayo","Huancayo","Mza: 014B",1,0,12,20,0,0,3,7,3,1,1,3,1,5,5,1,1,0,0,0,1,0,0,0,32
"117","120101000100300014D"," Junin","Huancayo","Huancayo","Huancayo","Mza: 014D",7,1,26,29,2,2,7,5,5,3,3,3,8,5,3,1,1,2,1,2,1,1,0,0,55
"118","120101000100300014E"," Junin","Huancayo","Huancayo","Huancayo","Mza: 014E",7,1,14,16,1,4,4,1,1,3,0,2,2,5,3,1,2,0,1,0,0,0,0,0,30
"119","120101000100300014K"," Junin","Huancayo","Huancayo","Huancayo","Mza: 014K",6,0,17,16,2,5,1,2,0,2,5,3,6,1,3,0,1,2,0,0,0,0,0,0,33
"120","120101000100300014L"," Junin","Huancayo","Huancayo","Huancayo","Mza: 014L",21,0,162,163,9,37,67,54,31,25,14,11,9,14,18,11,9,5,7,3,0,1,0,0,325
"121","120101000100300017A"," Junin","Huancayo","Huancayo","Huancayo","Mza: 017A",7,0,21,21,3,3,3,2,1,3,2,8,3,1,2,3,2,1,2,3,0,0,0,0,42
"122","120101000100300017B"," Junin","Huancayo","Huancayo","Huancayo","Mza: 017B",5,0,35,48,5,3,5,12,9,6,6,2,6,11,6,3,1,2,3,0,1,1,0,1,83
"123","120101000100300017E"," Junin","Huancayo","Huancayo","Huancayo","Mza: 017E",6,1,30,44,6,4,5,12,9,4,5,5,6,8,5,1,1,2,1,0,0,0,0,0,74
"124","120101000100300017G"," Junin","Huancayo","Huancayo","Huancayo","Mza: 017G",5,2,25,45,2,3,12,8,6,6,6,1,7,9,3,4,1,0,0,1,0,1,0,0,70
